fill_level,duration_to_full,crowded_location,weekly_frequency,need_transport
62,67,0,3,0
37,35,1,1,0
72,37,0,1,0
32,15,0,5,0
83,61,0,5,1
96,72,1,2,0
91,37,0,5,1
28,37,0,2,0
12,9,0,4,0
66,32,1,3,0
34,26,0,4,0
5,54,0,5,0
81,64,0,4,1
68,64,0,4,0
56,46,1,6,0
24,38,0,5,0
71,70,1,6,0
36,12,1,4,0
59,70,1,5,0
29,49,0,4,0
20,43,1,5,0
32,49,0,3,0
87,51,1,4,1
36,22,1,5,0
103,74,1,4,1
61,52,1,3,0
35,15,1,7,0
95,48,1,5,1
30,28,1,2,0
78,35,1,3,0
88,64,0,1,0
85,52,0,2,0
76,52,1,4,0
44,62,1,3,0
73,60,1,5,0
76,32,0,1,0
47,57,1,4,0
97,69,0,1,0
98,49,0,3,0
0,57,0,5,0
20,51,0,1,0
54,50,0,4,0
16,31,1,3,0
102,67,1,4,1
99,31,1,3,0
73,24,1,5,0
116,72,1,4,1
4,49,0,1,0
27,60,1,6,0
55,45,1,5,0
22,32,0,4,0
105,71,1,7,1
52,24,0,4,0
46,46,1,5,0
73,62,0,4,1
73,72,1,4,0
111,59,1,5,1
16,43,0,4,0
84,55,0,5,1
77,37,0,3,0
72,55,0,3,0
0,6,0,4,0
50,28,0,5,0
44,27,0,5,0
76,48,0,5,0
26,21,1,3,0
83,63,1,3,0
64,21,0,5,0
45,46,1,6,0
59,27,1,2,0
101,75,1,3,0
118,56,1,6,1
71,68,0,1,0
56,55,1,6,0
25,26,0,5,0
50,54,1,3,0
69,50,1,3,0
20,43,1,6,0
49,38,0,5,0
31,54,1,6,0
64,54,0,2,0
66,67,1,6,0
4,10,0,5,0
119,48,1,5,1
93,54,0,1,0
56,21,0,3,0
33,19,1,1,0
46,55,0,4,0
49,46,1,5,0
96,58,1,6,1
114,57,1,6,1
98,39,1,6,1
16,34,1,3,0
71,56,1,4,0
86,53,1,2,0
52,36,1,6,0
52,18,1,4,0
71,39,1,2,0
104,61,1,5,1
37,45,0,1,0
49,64,0,5,0
116,33,1,4,1
93,51,1,6,1
45,31,1,4,0
94,36,1,7,1
106,51,1,3,0
50,31,1,5,0
69,29,1,3,0
115,83,1,3,0
51,15,0,1,0
42,36,1,2,0
96,50,0,1,0
89,80,1,2,0
104,47,1,2,0
29,59,0,4,0
54,28,1,7,0
80,71,0,1,0
16,33,1,2,0
42,26,1,2,0
3,40,0,2,0
22,44,1,5,0
55,66,0,5,0
44,26,1,6,0
73,26,0,3,0
16,33,0,2,0
105,40,1,5,1
102,62,1,3,0
68,25,0,1,0
50,61,1,5,0
26,24,1,6,0
80,56,1,4,0
65,70,0,5,0
76,30,0,4,0
42,37,0,1,0
74,45,0,5,0
22,43,0,5,0
54,60,0,1,0
79,53,0,3,0
94,53,0,1,0
74,23,0,5,0
36,26,1,4,0
7,39,0,3,0
13,17,1,2,0
5,45,1,7,0
76,58,1,4,0
24,24,0,5,0
66,74,0,2,0
95,53,0,4,1
66,48,0,3,0
35,20,1,6,0
92,76,0,3,0
31,41,0,3,0
49,16,0,4,0
60,66,0,3,0
50,28,0,3,0
27,29,1,2,1
20,31,0,5,0
33,20,1,6,0
81,51,0,2,0
111,32,1,4,1
41,31,0,1,0
60,63,0,1,0
36,65,1,3,0
31,37,1,4,0
70,48,1,2,0
0,25,0,3,0
12,51,1,2,0
11,20,0,4,0
89,61,0,4,1
68,39,1,2,0
35,15,1,3,0
48,33,0,1,0
77,24,0,2,1
112,32,1,2,0
73,20,1,3,0
50,52,1,6,0
72,34,0,4,0
25,43,0,4,0
46,49,0,3,1
85,73,0,2,0
55,39,0,5,0
93,48,0,5,1
91,36,1,6,1
47,32,0,2,0
60,34,0,3,0
80,68,0,2,0
39,25,1,2,0
35,36,0,2,0
0,12,0,1,0
9,50,1,1,0
98,49,0,3,0
51,31,0,4,0
78,48,0,2,0
46,67,0,1,0
55,22,0,2,0
103,44,1,6,1
30,36,1,6,0
96,70,1,5,1
27,59,0,4,0
86,76,0,3,0
77,26,0,1,0
112,32,1,7,1
1,33,0,3,0
25,53,0,2,0
29,62,1,2,0
58,38,0,4,0
62,22,1,2,0
12,24,1,2,0
31,55,1,6,0
22,24,0,5,0
17,29,0,5,0
37,39,0,4,0
98,38,0,3,0
14,11,0,3,1
63,36,0,1,0
88,68,0,4,1
106,49,1,5,1
27,45,0,5,0
75,28,1,2,0
38,47,0,2,0
56,62,0,5,0
16,26,0,5,0
85,78,1,5,1
92,77,1,3,0
67,72,1,3,0
28,11,1,5,0
16,28,0,4,0
12,12,1,7,0
83,35,0,3,0
24,22,0,5,0
81,41,1,5,1
13,12,1,2,0
78,40,1,4,0
24,27,1,5,0
106,59,1,7,1
89,42,1,5,1
60,65,1,1,0
15,51,1,7,0
39,40,0,2,0
82,62,1,2,0
44,46,1,1,0
